date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-04-11,2015-04-14,2016-04-08,250,-0.0023499409896324667,2349.940989632467,27908.426194944906,24488.86886721948,24578.342560323334,34628.674572869495,28055.398555531334,28089.013366818628,1736065,2.5,True,False,False,False
2016-04-12,2015-04-15,2016-04-11,250,0.009269512093535435,-9269.512093535435,27908.426194944906,24506.69442235816,24545.071326125268,34628.674572869495,28073.33792145554,28132.412130572717,1736066,2.5,True,False,False,False
2016-04-13,2015-04-16,2016-04-12,250,0.010050427021052934,-10050.427021052934,27908.426194944906,24516.796498257416,24488.3763873847,34628.674572869495,28087.703678405036,28128.24221016388,1736067,2.5,True,False,False,False
2016-04-14,2015-04-17,2016-04-13,250,4.799067263569883e-05,-47.99067263569883,27908.426194944906,24519.985318818253,24719.181511286024,34628.674572869495,28097.379247831723,28264.987285600182,1736068,2.5,True,False,False,False
2016-04-15,2015-04-20,2016-04-14,250,-0.0011061929781344259,1106.1929781344259,27908.426194944906,24413.56370862519,24478.124618725178,34628.674572869495,27982.225172248836,28076.89282535935,1736069,2.5,True,False,False,False
2016-04-18,2015-04-21,2016-04-15,250,0.007002076344644568,-7002.076344644568,27908.426194944906,24418.782473052408,24496.420032962866,34628.674572869495,27982.26018181948,28036.721050812324,1736072,2.5,True,False,False,False
2016-04-19,2015-04-22,2016-04-18,250,0.0031495044562817385,-3149.5044562817384,27908.426194944906,24406.7007975719,24441.36306745592,34628.674572869495,27973.19294333195,27991.584167458273,1736073,2.5,True,False,False,False
2016-04-20,2015-04-23,2016-04-19,250,0.0009520705113753127,-952.0705113753127,27908.426194944906,24407.56243009756,24362.016617739806,34628.674572869495,27973.15886514053,27988.236023875586,1736074,2.5,True,False,False,False
2016-04-21,2015-04-24,2016-04-20,250,-0.005392924114723243,5392.924114723243,27908.426194944906,24411.498387912863,24441.75368631623,34628.674572869495,27976.758630636363,27799.502362409417,1736075,2.5,True,False,False,False
2016-04-22,2015-04-27,2016-04-21,250,0.0,-0.0,27908.426194944906,24453.201720522866,24310.900372604665,34628.674572869495,28020.043920921715,27652.4250003627,1736076,2.5,True,False,False,False
2016-04-25,2015-04-28,2016-04-22,250,-0.0017240220149403358,1724.0220149403358,27908.426194944906,24428.67479348901,24258.34036139601,34628.674572869495,27994.371988771793,27864.6112487728,1736079,2.5,True,False,False,False
2016-04-26,2015-04-29,2016-04-25,250,0.0014846297746239116,-1484.6297746239115,27908.426194944906,24445.289241373026,24645.426622814393,34628.674572869495,28010.55273555546,28210.279176678156,1736080,2.5,True,False,False,False
2016-04-27,2015-04-30,2016-04-26,250,0.002056419978732687,-2056.419978732687,27908.426194944906,24416.078596189847,24596.66511375539,34628.674572869495,27980.354630831134,28024.697200736282,1736081,2.5,True,False,False,False
2016-04-28,2015-05-01,2016-04-27,250,-0.009117117464211873,9117.117464211873,27908.426194944906,24323.531253292287,24118.34123386381,34628.674572869495,27881.392513861538,27669.97800914778,1736082,2.5,True,False,False,False
2016-04-29,2015-05-04,2016-04-28,250,-0.005413182465645653,5413.182465645653,27908.426194944906,24389.470788142393,24364.524446402953,34628.674572869495,27945.342130875586,27887.247718004586,1736083,2.5,True,False,False,False
2016-05-02,2015-05-05,2016-04-29,250,0.007916587867285682,-7916.587867285682,27908.426194944906,24431.980645843858,24499.21901214707,34628.674572869495,27989.233304271685,27841.037777549278,1736086,2.5,True,False,False,False
2016-05-03,2015-05-06,2016-05-02,250,-0.00874114149342177,8741.14149342177,27908.426194944906,24322.59325101282,24306.588957405693,34628.674572869495,27875.235858187938,27722.121852761113,1736087,2.5,True,False,False,False
2016-05-04,2015-05-07,2016-05-03,250,-0.005593915339461964,5593.915339461964,27908.426194944906,24367.739836343455,24379.230014405435,34628.674572869495,27924.269300465283,27943.677459052542,1736088,2.5,True,False,False,False
2016-05-05,2015-05-08,2016-05-04,250,-0.000195402494315073,195.402494315073,27908.426194944906,24413.159798431472,24382.258173655307,34628.674572869495,27970.725971634478,27951.29641729473,1736089,2.5,True,False,False,False
2016-05-06,2015-05-11,2016-05-05,250,0.003652873354004631,-3652.873354004631,27908.426194944906,24389.835354392737,24331.38165540834,34628.674572869495,27936.26899296307,28058.05563008708,1736090,2.5,True,False,False,False
